Landmarks,1441,v1.0,(mm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,Nasal_crest.1.01,normal,1.746454e+02,-5.854961e+00,-2.332875e+01,8.137306e-01,3.097081e-01,4.918571e-01
2,Nasal_crest.1.02,normal,1.722768e+02,-7.299181e+00,-1.927721e+01,4.173772e-01,2.240270e-01,8.806862e-01
3,Nasal_crest.1.03,normal,1.677301e+02,-8.237440e+00,-1.767737e+01,-1.927711e-01,-9.181446e-01,3.461932e-01
4,Nasal_crest.1.04,normal,1.633354e+02,-8.956261e+00,-1.560812e+01,3.871072e-01,-7.307842e-01,5.622301e-01
5,Nasal_crest.1.05,normal,1.584870e+02,-9.067104e+00,-1.447074e+01,3.142891e-01,-3.218699e-01,8.930970e-01
6,Nasal_crest.1.06,normal,1.536215e+02,-9.437505e+00,-1.347113e+01,1.328053e-01,-1.845027e-01,9.738180e-01
7,Nasal_crest.1.07,normal,1.487259e+02,-9.674767e+00,-1.258305e+01,1.974897e-01,-3.984602e-01,8.956715e-01
8,Nasal_crest.1.08,normal,1.417823e+02,-9.913965e+00,-1.141356e+01,3.707281e-02,-5.247318e-01,8.504601e-01
9,Nasal_crest.1.09,normal,1.347450e+02,-9.578934e+00,-1.148570e+01,1.555724e-01,-8.294786e-01,5.364349e-01
10,Nasal_crest.1.10,normal,1.279682e+02,-1.031919e+01,-9.706589e+00,2.247739e-01,-4.294148e-01,8.746884e-01
11,Nasal_crest.1.11,normal,1.207525e+02,-1.043588e+01,-1.024895e+01,-2.470434e-02,1.130999e-01,9.932765e-01
12,Nasal_crest.1.12,normal,1.135440e+02,-1.102569e+01,-9.999534e+00,7.163309e-02,-4.773066e-01,8.758123e-01
13,Nasal_crest.1.13,normal,1.063435e+02,-1.129086e+01,-9.323532e+00,1.006098e-01,-2.078798e-01,9.729664e-01
14,Nasal_crest.1.14,normal,9.942573e+01,-1.088799e+01,-8.680183e+00,2.536826e-01,-2.827372e-01,9.250432e-01
15,Nasal_crest.1.15,normal,9.254387e+01,-1.012119e+01,-7.984797e+00,1.749629e-01,-9.839509e-01,-3.505300e-02
16,Nasal_crest.1.16,normal,8.570634e+01,-9.559147e+00,-6.816635e+00,-1.398738e-01,-4.186416e-01,8.973153e-01
17,Nasal_crest.1.17,normal,8.004543e+01,-9.388118e+00,-6.153494e+00,4.229121e-02,-9.040852e-01,4.252547e-01
18,Nasal_crest.1.18,normal,7.439447e+01,-8.717299e+00,-5.793993e+00,-1.306530e-01,-7.618343e-01,6.344592e-01
19,Nasal_crest.1.19,normal,6.874358e+01,-8.466736e+00,-5.074791e+00,8.958520e-02,-9.829551e-01,-1.605425e-01
20,Nasal_crest.1.20,normal,6.542395e+01,-8.440747e+00,-4.316571e+00,-1.012089e-01,-9.924185e-01,6.973132e-02
21,Nasal_crest.1.21,normal,6.224263e+01,-7.901323e+00,-3.228469e+00,3.544850e-01,2.960672e-01,8.869525e-01
22,Nasal_crest.1.22,normal,5.893041e+01,-7.694031e+00,-2.465639e+00,2.106289e-01,3.799247e-01,9.007178e-01
23,Nasal_crest.1.23,normal,5.562937e+01,-7.708355e+00,-1.516704e+00,4.975749e-01,3.595543e-01,7.893922e-01
