Landmarks,1973,v1.0,(mm),,,,,
#,Name,Type,X,Y,Z,NX,NY,NZ
1,Jugal_LEFT.1.01,normal,-6.05E+00,4.61E+00,-1.30E+01,-3.29E-01,7.19E-01,6.12E-01
2,Jugal_LEFT.1.02,normal,-6.21E+00,4.68E+00,-1.31E+01,3.59E-01,8.63E-01,-3.55E-01
3,Jugal_LEFT.1.03,normal,-6.38E+00,4.75E+00,-1.32E+01,3.19E-01,9.47E-01,3.51E-02
4,Jugal_LEFT.1.04,normal,-6.54E+00,4.85E+00,-1.33E+01,4.68E-01,8.79E-01,9.42E-02
5,Jugal_LEFT.1.05,normal,-6.77E+00,4.95E+00,-1.34E+01,-1.52E-01,4.86E-01,8.61E-01
6,Jugal_LEFT.1.06,normal,-6.99E+00,5.06E+00,-1.35E+01,-2.29E-01,2.69E-01,9.36E-01
7,Jugal_LEFT.1.07,normal,-7.23E+00,5.16E+00,-1.36E+01,-2.10E-01,2.08E-01,9.55E-01
8,Jugal_LEFT.1.08,normal,-7.46E+00,5.24E+00,-1.36E+01,-1.67E-01,2.94E-01,9.41E-01
9,Jugal_LEFT.1.09,normal,-7.69E+00,5.32E+00,-1.37E+01,-1.80E-01,3.22E-01,9.29E-01
10,Jugal_LEFT.1.10,normal,-7.93E+00,5.40E+00,-1.37E+01,-1.73E-01,3.08E-01,9.36E-01
11,Jugal_LEFT.1.11,normal,-8.17E+00,5.48E+00,-1.38E+01,-1.67E-01,1.61E-01,9.73E-01
12,Jugal_LEFT.1.12,normal,-8.41E+00,5.55E+00,-1.38E+01,1.67E-02,4.65E-01,8.85E-01
13,Jugal_LEFT.1.13,normal,-8.66E+00,5.61E+00,-1.38E+01,1.07E-01,8.41E-01,5.30E-01
14,Jugal_LEFT.1.14,normal,-8.88E+00,5.63E+00,-1.38E+01,1.13E-01,5.15E-01,8.49E-01
15,Jugal_LEFT.1.15,normal,-9.11E+00,5.63E+00,-1.38E+01,1.29E-01,-3.18E-02,9.91E-01
16,Jugal_LEFT.1.16,normal,-9.33E+00,5.61E+00,-1.38E+01,9.74E-02,2.03E-02,9.95E-01
17,Jugal_LEFT.1.17,normal,-9.58E+00,5.57E+00,-1.37E+01,1.96E-01,-4.36E-01,8.78E-01
18,Jugal_LEFT.1.18,normal,-9.83E+00,5.53E+00,-1.37E+01,2.70E-01,-3.59E-01,8.93E-01
19,Jugal_LEFT.1.19,normal,-1.01E+01,5.50E+00,-1.36E+01,5.47E-02,6.21E-01,7.82E-01
20,Jugal_LEFT.1.20,normal,-1.02E+01,5.50E+00,-1.36E+01,6.91E-01,1.93E-01,6.96E-01
21,Jugal_LEFT.1.21,normal,-1.03E+01,5.52E+00,-1.35E+01,4.26E-01,9.02E-01,6.83E-02
22,Jugal_LEFT.1.22,normal,-1.04E+01,5.56E+00,-1.34E+01,3.79E-01,8.91E-01,2.50E-01
23,Jugal_LEFT.1.23,normal,-1.06E+01,5.57E+00,-1.33E+01,-1.17E-01,8.17E-01,5.64E-01
24,Jugal_LEFT.1.24,normal,-1.08E+01,5.50E+00,-1.33E+01,-1.97E-01,8.86E-01,4.21E-01
25,Jugal_LEFT.1.25,normal,-1.10E+01,5.42E+00,-1.32E+01,-5.66E-01,7.30E-01,3.82E-01
26,Jugal_RIGHT.2.01,normal,-6.42E+00,5.24E-01,-1.42E+01,4.51E-01,-7.53E-01,-4.78E-01
27,Jugal_RIGHT.2.02,normal,-6.49E+00,5.28E-01,-1.43E+01,4.20E-01,-7.62E-01,-4.93E-01
28,Jugal_RIGHT.2.03,normal,-6.56E+00,5.34E-01,-1.43E+01,4.67E-03,-9.95E-01,9.81E-02
29,Jugal_RIGHT.2.04,normal,-6.63E+00,5.26E-01,-1.43E+01,3.57E-01,-8.14E-01,-4.58E-01
30,Jugal_RIGHT.2.05,normal,-6.71E+00,5.21E-01,-1.44E+01,4.48E-01,-7.97E-01,-4.06E-01
31,Jugal_RIGHT.2.06,normal,-6.80E+00,5.10E-01,-1.44E+01,3.37E-01,-8.47E-01,-4.11E-01
32,Jugal_RIGHT.2.07,normal,-6.89E+00,5.02E-01,-1.45E+01,2.83E-01,-9.51E-01,1.24E-01
33,Jugal_RIGHT.2.08,normal,-6.97E+00,4.87E-01,-1.45E+01,6.28E-02,-8.85E-01,4.61E-01
34,Jugal_RIGHT.2.09,normal,-7.05E+00,4.52E-01,-1.45E+01,2.49E-01,-9.66E-01,6.48E-02
35,Jugal_RIGHT.2.10,normal,-7.14E+00,4.44E-01,-1.45E+01,-2.63E-01,-9.26E-01,-2.71E-01
36,Jugal_RIGHT.2.11,normal,-7.34E+00,3.89E-01,-1.46E+01,1.88E-01,-5.77E-01,-7.95E-01
37,Jugal_RIGHT.2.12,normal,-7.56E+00,3.71E-01,-1.46E+01,1.05E-01,-7.80E-01,-6.17E-01
38,Jugal_RIGHT.2.13,normal,-7.77E+00,3.71E-01,-1.46E+01,3.92E-03,-7.32E-01,-6.81E-01
